*ContactName,POAddressLine1,POAddressLine2,POAddressLine3,POAddressLine4,POCity,PORegion,POPostalCode,POCountry,*InvoiceNumber,Reference,*InvoiceDate,*DueDate,Total,InventoryItemCode,*Description,*Quantity,*UnitAmount,Discount,*AccountCode,*TaxType,TaxAmount,TrackingName1,*TrackingOption1,TrackingName2,TrackingOption2,Currency
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,31118d17aa3cdebb64532fcb5a2e6a892343c1cc,14/11/18,14/11/18,,,"Energy sales,TC, From 469662",1,"1,000",,P&L 1.1,Sale Exempt (0%),,,,SITES,gitaraga2,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,827ed2abeb51b46ddaf51530a50022481995879b,14/11/18,14/11/18,,,"Energy sales,TC, From 141998",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,ngara1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,3dea79c093991cf931c7c7452b91aa4af1d5d534,14/11/18,14/11/18,,,"Energy sales,TC, From 717400",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,ngara1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,99127ad978333a95010736b0a6d7b26112c45b64,14/11/18,14/11/18,,,"Energy sales,TC, From 370687",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,kagoma1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,dfc1b36f8c026973eaddd996a88bb11c4bc086a1,14/11/18,14/11/18,,,"Energy sales,TC, From 158380",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,gitaraga1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,51317719d698e1c1a3d5e7af4281d6f7e8347b9f,14/11/18,14/11/18,,,"Energy sales,TC, From 134379",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,kuri-kane1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,76b41682067c28a2b58032f484739b421a6c9a9b,14/11/18,14/11/18,,,"Energy sales,TC, From 122524",1,"1,000",,P&L 1.1,Sale Exempt (0%),,,,SITES,nyakabungo1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,edd613406c3c3e8d7ce2468102c5aae1b0556b63,14/11/18,14/11/18,,,"Energy sales,TC, From 679682",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,ngara1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,395f51e1c49d6a4ca3aa8ae2c0b311670bf701a7,14/11/18,14/11/18,,,"Energy sales,TC, From 175314",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,ngara1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,7ca91e04eab2c1b5e5b4aa5065c1f921463b0d6c,14/11/18,14/11/18,,,"Energy sales,TC, From 126030",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,gitaraga1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,4f65a8d7efbc8d5aa3d02d7a85e8e2161a8cf0f5,14/11/18,14/11/18,,,"Energy sales,TC, From 127460",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,nganwa1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,80f485fe5ae1d020ebd6041de6f47374065e02f3,14/11/18,14/11/18,,,"Energy sales,TC, From 994137",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,rulindo1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,24d774577c5db1b96e124dd4e6e8ec335ecf6fab,14/11/18,14/11/18,,,"Energy sales,TC, From 120228",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,ruhama1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,010028ad417a53e6aee50d29d50f65d77052f4bb,14/11/18,14/11/18,,,"Energy sales,TC, From 137267",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,ngara1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,39769da495c0b8a38e6a8b032ae83ecb796ae8ba,14/11/18,14/11/18,,,"Energy sales,TC, From 129124",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,ngara1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,3a2085cb22e7e4900d0e3841139ce63967e7be50,14/11/18,14/11/18,,,"Energy sales,TC, From 482977",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,ku-gasima1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,13ed5f18c0e14e163bdbc7c51cc952d9e2eaddd1,14/11/18,14/11/18,,,"Energy sales,TC, From 933214",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,ku-gasima1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,38738e40e1ba3a9c355936f2bd8efc8b083032c7,14/11/18,14/11/18,,,"Energy sales,TC, From 147785",1,"1,000",,P&L 1.1,Sale Exempt (0%),,,,SITES,rwali1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,73836bfc5a8642e8c1559e584d1491e4e247f943,14/11/18,14/11/18,,,"Energy sales,TC, From 634412",1,"1,000",,P&L 1.1,Sale Exempt (0%),,,,SITES,nyakabungo1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,62574969faf93b7914bc27fb20e30ab671b3e405,14/11/18,14/11/18,,,"Energy sales,TC, From 106665",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,nyakabungo1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,9bfed9bc18166cdaebc517bec0266c62b8b42e83,14/11/18,14/11/18,,,"Energy sales,TC, From 129775",1,"1,000",,P&L 1.1,Sale Exempt (0%),,,,SITES,gitaraga1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,3007bb7abebadfd5f1b88bcae13a543a4383fd7b,14/11/18,14/11/18,,,"Energy sales,TC, From 367446",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,ngara1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,b66e45249a63123c4ae74bc4f823012729ac3bcd,14/11/18,14/11/18,,,"Energy sales,TC, From 798239",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,gitaraga1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,e732c7d8ae8ad93b863d6e3747beac56773ce313,14/11/18,14/11/18,,,"Energy sales,TC, From 181700",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,gitaraga1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,ed18c2f746268fb859620acdb05392e20a76f9dd,14/11/18,14/11/18,,,"Energy sales,TC, From 175650",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,giturusu1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,fffa7f03982c03b8adb39d8b09b20374a85c277c,14/11/18,14/11/18,,,"Energy sales,TC, From 959797",1,"1,000",,P&L 1.1,Sale Exempt (0%),,,,SITES,akajevuba1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,2cd47bcedd3ecb41b41e3ef66c30c39cead1fae7,14/11/18,14/11/18,,,"Energy sales,TC, From 169250",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,kibungo1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,d7eefd63db4c5a9bbd79369702b2c85125d03eed,14/11/18,14/11/18,,,"Energy sales,TC, From 118025",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,nyakabungo1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,6c7b727c0961db79d6d0b226afdd0b55328a3220,14/11/18,14/11/18,,,"Energy sales,TC, From 114047",1,"1,000",,P&L 1.1,Sale Exempt (0%),,,,SITES,kibungo1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,6b6b251d3ae813abec583ef4171258db3ba49292,14/11/18,14/11/18,,,"Energy sales,TC, From 116991",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,mu-gasoko1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,69d72cece61057a3551e58173d7fbf929b74dbe7,14/11/18,14/11/18,,,"Energy sales,TC, From 129209",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,kavumu1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,b7578cd2382479acf856a5573940f3b957de00cd,14/11/18,14/11/18,,,"Energy sales,TC, From 106918",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,kavumu1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,788f50573346b3a03146032a950f8dbf254f4e41,14/11/18,14/11/18,,,"Energy sales,TC, From 177508",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,cyivugiza1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,2e15596aa7fca40e6fb5f5f5c1a1a912cbe4c714,14/11/18,14/11/18,,,"Energy sales,TC, From 125295",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,gitaraga1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,15734595fd5131ef9dc2f279725246704a87f68f,14/11/18,14/11/18,,,"Energy sales,TC, From 158529",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,gitaraga1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,2fc98d21c6a34aae8fe6f1efdd24910aa5394d50,14/11/18,14/11/18,,,"Energy sales,TC, From 826635",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,nganwa1,
Energy Sales MTN cash ,,,,,,,,,MTN INV-20181201,375780cc31ef446bc5149891ca6f801e913b75ff,14/11/18,14/11/18,,,"Energy sales,MOMO, From 489387",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,bizenga1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,3fa29727a9974b7c02a223a9a6d2555d8657a943,14/11/18,14/11/18,,,"Energy sales,TC, From 141940",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,kuri-kane1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,4916f29bd961bcdf6de9c8c99527d7c63277024a,14/11/18,14/11/18,,,"Energy sales,TC, From 198136",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,gitaraga1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,daca900b166da83521cd69760203bab9d5a16978,14/11/18,14/11/18,,,"Energy sales,TC, From 181448",1,600,,P&L 1.1,Sale Exempt (0%),,,,SITES,ngara1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,b8676084abd6a87ef400afe0d1cf6083d50388b0,14/11/18,14/11/18,,,"Energy sales,TC, From 127532",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,kagoma1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,40145be815ed9d7c93f561fcef6a5cc29442ada3,14/11/18,14/11/18,,,"Energy sales,TC, From 942088",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,ruhuha1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,1bc1e57c53a8b5622fc75d0bace58eed5936a0b6,14/11/18,14/11/18,,,"Energy sales,TC, From 163904",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,kanombe1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,2cc78f61fd0c02b1ef5184a620ff7baf0772b028,14/11/18,14/11/18,,,"Energy sales,TC, From 217459",1,"1,000",,P&L 1.1,Sale Exempt (0%),,,,SITES,kibungo1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,50d3c222b7a0deb6e5647408c8570f44a9526bc6,14/11/18,14/11/18,,,"Energy sales,TC, From 547858",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,gitaraga1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,6162de0524d221ac4abd4d8d857bb646633b78f2,14/11/18,14/11/18,,,"Energy sales,TC, From 122788",1,"1,500",,P&L 1.1,Sale Exempt (0%),,,,SITES,kwa-waridi,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,2b54d5dec4bedcd8d4fe9d337484bee138b6c8a5,14/11/18,14/11/18,,,"Energy sales,TC, From 755939",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,gitaraga1,
Energy Sales MTN cash ,,,,,,,,,MTN INV-20181201,255511b5edf03a0471fe54dee187a972c4b82d49,14/11/18,14/11/18,,,"Energy sales,MOMO, From 519875",1,"1,500",,P&L 1.1,Sale Exempt (0%),,,,SITES,karumbya1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,5b2fe3dbd39eeba659958bab425f6c41c0ab314a,14/11/18,14/11/18,,,"Energy sales,TC, From 643514",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,gitaraga1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,793839e0a7702db3fa8c25fdf888f37444c685e9,14/11/18,14/11/18,,,"Energy sales,TC, From 176610",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,cyanika1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,463854718134ac8427fa82bfd2a530d695fd1d50,14/11/18,14/11/18,,,"Energy sales,TC, From 807932",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,koperative1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,56bcde896d36d7b6580a57a545a89897a4bf2e8f,14/11/18,14/11/18,,,"Energy sales,TC, From 115343",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,ramiro1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,fe40f43849371fb446a22a82ed78110c62e00459,14/11/18,14/11/18,,,"Energy sales,TC, From 119342",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,gitaraga1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,8e415c4d646bbefeafb799c76cd46c80c21f4b10,14/11/18,14/11/18,,,"Energy sales,TC, From 380183",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,nyamabuye1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,926dd2c462ba1bc048db1a9461ce418228c76b9f,14/11/18,14/11/18,,,"Energy sales,TC, From 165607",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,kaboshya1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,ade7fc24db335610eced0f0b544b3cb247621b73,14/11/18,14/11/18,,,"Energy sales,TC, From 739134",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,kumbuga1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,33b9209024f84dc21c094c78681ac09a6c5a544d,14/11/18,14/11/18,,,"Energy sales,TC, From 111528",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,kaboshya1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,6393f2d117ef795daea19c1f780b77702c28fbd0,14/11/18,14/11/18,,,"Energy sales,TC, From 134348",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,kibungo1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,c016867f45b0b4b633bce3d6a2c7457ce6c54f03,14/11/18,14/11/18,,,"Energy sales,TC, From 780083",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,gasagara1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,1942316c5e6b419a841018348bb72cd28edf9b2c,14/11/18,14/11/18,,,"Energy sales,TC, From 996389",1,"1,000",,P&L 1.1,Sale Exempt (0%),,,,SITES,giturusu1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,02ab30c26966b734b5190c25bc20f65ce30cd273,14/11/18,14/11/18,,,"Energy sales,TC, From 170281",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,nyamabuye1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,c16363afb6ca72f1761931b45ab213050796592d,14/11/18,14/11/18,,,"Energy sales,TC, From 162596",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,runyonza3,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,86c82dd3278e3a0ccbf8fe977ed10bceeeebfc9c,14/11/18,14/11/18,,,"Energy sales,TC, From 173077",1,"1,000",,P&L 1.1,Sale Exempt (0%),,,,SITES,kavumu1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,94482e98698015e70e8f83e32d7a31c76eaf6287,14/11/18,14/11/18,,,"Energy sales,TC, From 125567",1,700,,P&L 1.1,Sale Exempt (0%),,,,SITES,gitaraga1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,4ae8d4f58ea5d45d270894430724fd22fdfe8aa9,14/11/18,14/11/18,,,"Energy sales,TC, From 147601",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,akajevuba1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,040a29afe2776ab06843f4c5735217c7da78c993,14/11/18,14/11/18,,,"Energy sales,TC, From 550204",1,"1,000",,P&L 1.1,Sale Exempt (0%),,,,SITES,kagoma1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,acbeeb9fae8c08a97ebe758b230f9390dc31f336,14/11/18,14/11/18,,,"Energy sales,TC, From 139508",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,gatare1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,6bd04cfacbcd64d39515bafc362d90c5ba9d432a,14/11/18,14/11/18,,,"Energy sales,TC, From 845731",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,kagoma1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,c59f36f8973443356cfb84a4fa3663c5e97bfe2c,14/11/18,14/11/18,,,"Energy sales,TC, From 126526",1,700,,P&L 1.1,Sale Exempt (0%),,,,SITES,kibungo1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,e92709f37646958ee9a0c6b7737478e1eb0f3549,14/11/18,14/11/18,,,"Energy sales,TC, From 182897",1,"1,000",,P&L 1.1,Sale Exempt (0%),,,,SITES,gakiriro1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,696c50b9d5bded11a2b60134f0093f95b5c25d62,14/11/18,14/11/18,,,"Energy sales,TC, From 702128",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,rwali1,
Energy Sales MTN cash ,,,,,,,,,MTN INV-20181201,d0fe736af7d5613e1a851fe93547767e84b6eaeb,14/11/18,14/11/18,,,"Energy sales,MOMO, From 713831",1,"1,000",,P&L 1.1,Sale Exempt (0%),,,,SITES,kajevuba1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,558230b1be6466212a9928ff5509869070e7dc6f,14/11/18,14/11/18,,,"Energy sales,TC, From 175812",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,kagoma1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,13de6c9e61bc33825732f00179a4a1929ea23342,14/11/18,14/11/18,,,"Energy sales,TC, From 129475",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,gasagara1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,7027805d2f6d56a7336a9ffffc231e6b20558bc4,14/11/18,14/11/18,,,"Energy sales,TC, From 165943",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,bizenga1,
Energy Sales MTN cash ,,,,,,,,,MTN INV-20181201,4623e96028dae84515634acdd38dc2d1cd590724,14/11/18,14/11/18,,,"Energy sales,MOMO, From 158964",1,"1,000",,P&L 1.1,Sale Exempt (0%),,,,SITES,karisizo1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,56622aa5cd9f345d4d6d1d5cee8feb8f469a21c2,14/11/18,14/11/18,,,"Energy sales,TC, From 145155",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,kaboshya1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,cbe92ac6f76b408f7431427fda6f43fef1fa92f0,14/11/18,14/11/18,,,"Energy sales,TC, From 561991",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,mu-gasoko1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,edcf016c46fa0c133b9d045c163435ea69d55802,14/11/18,14/11/18,,,"Energy sales,TC, From 176723",1,"1,000",,P&L 1.1,Sale Exempt (0%),,,,SITES,nyamabuye1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,6597cecc3ada0475f2a0fe80609034bb28c98d1f,14/11/18,14/11/18,,,"Energy sales,TC, From 182652",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,gasagara1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,5b95f23029ae428d7dd958edc967f6d0d19f52a3,14/11/18,14/11/18,,,"Energy sales,TC, From 144206",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,kanombe1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,f7f8f268fb35257e294657b312db585735bc01a9,14/11/18,14/11/18,,,"Energy sales,TC, From 502713",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,ruhuha1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,a142bcefed74f26363bcd83216fea6f567ce5658,14/11/18,14/11/18,,,"Energy sales,TC, From 611509",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,shirinyota1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,b4b32369ded5caf3c070cc421be46196e7808228,14/11/18,14/11/18,,,"Energy sales,TC, From 127215",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,runyonza3,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,66878f6cd7c8965914cdce3d34921c2ede8a53a4,14/11/18,14/11/18,,,"Energy sales,TC, From 857432",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,kaboshya1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,288bbdc6550cc3f987a35f2085332912ea472101,14/11/18,14/11/18,,,"Energy sales,TC, From 492038",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,kagoma1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,fa08d91179a8790380c0a9df69edda31e103e26f,14/11/18,14/11/18,,,"Energy sales,TC, From 703470",1,"1,000",,P&L 1.1,Sale Exempt (0%),,,,SITES,kanombe1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,3d927d710ed15940f034f8e09589baeda5e07e7a,14/11/18,14/11/18,,,"Energy sales,TC, From 773317",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,gitaraga2,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,1833ab0efc45fe16081fccccf1e1d14583765ca4,14/11/18,14/11/18,,,"Energy sales,TC, From 171548",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,ku-gasima1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,19c78dbaaebb6d393960a504d20c2f6a23f693a0,14/11/18,14/11/18,,,"Energy sales,TC, From 153071",1,"1,000",,P&L 1.1,Sale Exempt (0%),,,,SITES,gitaraga1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,aced5e7188d479a4eceb6d287e079070fa357eec,14/11/18,14/11/18,,,"Energy sales,TC, From 611839",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,ku-gasima1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,9a973903895756d000cbb82b7fa827cdb198f49e,14/11/18,14/11/18,,,"Energy sales,TC, From 379736",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,gitaraga2,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,8bda5b149e6a269c0a5b9c0c60c70cc6b43ab8c9,14/11/18,14/11/18,,,"Energy sales,TC, From 607428",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,ruhama1,
Energy Sales Tigo Cash ,,,,,,,,,TIGO INV-20181201,84101c1c2ed9437f55a1b604110baac7aea9904c,14/11/18,14/11/18,,,"Energy sales,TC, From 113585",1,500,,P&L 1.1,Sale Exempt (0%),,,,SITES,gitaraga2,
Energy Sales MTN cash ,,,,,,,,,MTN INV-20181201,a273c90687fe356249ae9236c9106904b043c177,14/11/18,14/11/18,,,"Energy sales,MOMO, From 646640",1,"1,000",,P&L 1.1,Sale Exempt (0%),,,,SITES,kajevuba2,
